Title: NACA0015
Thickness to Chord Ratio: 0.15
Zero Lift AOA (deg): 0.0
Reverse Camber Direction: 0

Reynolds Number: 1e4
BV Dyn. Stall Model - Positive Stall AOA (deg): 1.0
BV Dyn. Stall Model - Negative Stall AOA (deg): -1.0
LB Dyn. Stall Model - Lift Coeff. Slope at Zero Lift AOA (per radian): 5.73
LB Dyn. Stall Model - Positive Critical Lift Coeff.: 1
LB Dyn. Stall Model - Negative Critical Lift Coeff.: -1
AOA (deg) CL CD Cm25
-160.0000	0.6350	0.3200	0.0000
-155.0000	0.6700	0.4200	0.0000
-150.0000	0.7700	0.5750	0.0000
-145.0000	0.9000	0.7550	0.0000
-140.0000	0.9800	0.9250	0.0000
-135.0000	0.9300	1.0850	0.0000
-130.0000	0.8500	1.2250	0.0000
-125.0000	0.7600	1.3500	0.0000
-120.0000	0.6700	1.4650	0.0000
-115.0000	0.5750	1.5550	0.0000
-110.0000	0.4500	1.6350	0.0000
-105.0000	0.3200	1.7000	0.0000
-100.0000	0.1850	1.7500	0.0000
-95.0000	0.0500	1.7800	0.0000
-90.0000	-0.0900	1.8000	0.0000
-85.0000	-0.2300	1.8000	0.0000
-80.0000	-0.3650	1.7800	0.0000
-75.0000	-0.5000	1.7350	0.0000
-70.0000	-0.6300	1.6650	0.0000
-65.0000	-0.7600	1.5750	0.0000
-60.0000	-0.8750	1.4700	0.0000
-55.0000	-0.9550	1.3450	0.0000
-50.0000	-1.0200	1.2150	0.0000
-45.0000	-1.0500	1.0750	0.0000
-40.0000	-1.0350	0.9200	0.0000
-35.0000	-0.9800	0.7450	0.0000
-30.0000	-0.8550	0.5700	0.0000
-27.0000	-0.8382	0.4600	0.0000
-26.0000	-0.7771	0.4320	0.0000
-25.0000	-0.7224	0.4050	0.0000
-24.0000	-0.6685	0.3790	0.0000
-23.0000	-0.6148	0.3540	0.0000
-22.0000	-0.5611	0.3290	0.0000
-21.0000	-0.5087	0.3050	0.0000
-20.0000	-0.4575	0.2820	0.0000
-19.0000	-0.4066	0.2600	0.0000
-18.0000	-0.3567	0.2380	0.0000
-17.0000	-0.3098	0.2170	0.0000
-16.0000	-0.2665	0.1970	0.0000
-15.0000	-0.2376	0.1770	0.0000
-14.0000	-0.2371	0.1040	0.0000
-13.0000	-0.3548	0.0302	0.0000
-12.0000	-0.5936	0.0281	0.0000
-11.0000	-0.7623	0.0256	0.0000
-10.0000	-0.8322	0.0233	0.0000
-9.0000	-0.8311	0.0212	0.0000
-8.0000	-0.7851	0.0193	0.0000
-7.0000	-0.7150	0.0176	0.0000
-6.0000	-0.6299	0.0160	0.0000
-5.0000	-0.5500	0.0142	0.0000
-4.0000	-0.4400	0.0132	0.0000
-3.0000	-0.3300	0.0124	0.0000
-2.0000	-0.2200	0.0120	0.0000
-1.0000	-0.1100	0.0117	0.0000
0.0000	0.0000	0.0116	0.0000
1.0000	0.1100	0.0117	0.0000
2.0000	0.2200	0.0120	0.0000
3.0000	0.3300	0.0124	0.0000
4.0000	0.4400	0.0132	0.0000
